nombre_nivel,segmento_completo,scenario_id,n_predios,tarifa_prom_esc,recaudo_tot_esc,share_recaudo_segmento,cobertura_tarifa_esc,recaudo_millones,share_recaudo_pct
Agresivo,Económico - Altos,1019,2287,9.04,3072258.1044500577,0.6006509412151765,100,3.07,60.1
Agresivo,Vulnerables,1019,1311,4.93,1274036.781588435,0.24908434317266767,100,1.27,24.9
Agresivo,Institucional,1019,54,8,466287.1262308834,0.09116284886397402,100,0.47,9.1
Agresivo,Especulativo,1019,209,26,150653.5796206687,0.02945397532372631,100,0.15,2.9
Agresivo,Económico - Bajos,1019,740,8.01,102011.0221159929,0.01994396771532363,100,0.1,2
Agresivo,Servicios - Altos,1019,5,10.8,47569.2116756741,0.00930015994569966,100,0.05,0.9
Agresivo,Servicios - Bajos,1019,15,9.93,2065.2036138971325,4.037637634323511e-4,100,0,0
Conservador,Económico - Altos,10,2287,7.08,2443488.589214633,0.5535492492734847,100,2.44,55.4
Conservador,Vulnerables,10,1311,4.93,1274036.781588435,0.28862099340589026,100,1.27,28.9
Conservador,Institucional,10,54,6.3,425957.6160112191,0.09649667266959444,100,0.43,9.6
Conservador,Especulativo,10,209,25,144859.2111737199,0.03281648539285171,100,0.14,3.3
Conservador,Económico - Bajos,10,740,6.02,76813.61729000486,0.017401399119498,100,0.08,1.7
Conservador,Servicios - Altos,10,5,10.2,47004.301301811065,0.01064838027608922,100,0.05,1.1
Conservador,Servicios - Bajos,10,15,9.8,2060.6459298041664,4.668198625916984e-4,100,0,0
Moderado,Económico - Altos,2085,2287,6.27,2327754.520052871,0.4965312657444291,100,2.33,49.7
Moderado,Vulnerables,2085,1311,5.87,1523581.9415253464,0.3249939215556768,100,1.52,32.5
Moderado,Institucional,2085,54,6.74,540321.023018304,0.11525540135628631,100,0.54,11.5
Moderado,Especulativo,2085,209,27,156447.94806761746,0.03337177395981101,100,0.16,3.3
Moderado,Económico - Bajos,2085,740,6.05,77790.73953963727,0.0165934741116662,100,0.08,1.7
Moderado,Servicios - Altos,2085,5,12.6,59464.16778257396,0.01268424923726489,100,0.06,1.3
Moderado,Servicios - Bajos,2085,15,12.53,2671.7752984013187,5.699140348655727e-4,100,0,0.1
